Name,Name 2,2008 Wreck ID,Latitude,Longitude,Geo Q,Start Date,End Date,Date Q,Depth,Depth Q,Year Found,Year Found Q,Cargo 1,Type 1,Cargo 2,Type 2,Cargo 3,Type 3,Other Cargo,Gear,Estimated Capacity,Comments,Length,Width,Size estimate Q,Parker reference,Bibliography and notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabrera 4,,99,39.150,2.950,ca,1,15,ca,,,,,amphoras,Dr7 Dr2-4 stamps,metal,lead ingots,,,,"lead reservoir, lead jar, bronze jug-handle, terracotta tubelet, coarseware jug and jar, stamped Arretine plate 3 bronze helmets, 2 iron anchors3",,cargo probably from Baetica,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabrera 5,,100,39.150,2.917,,-10,25,ca / ?,42.0,,,,amphoras,Dr7 Dr9,metal,lead ingots,,,,,,"pieces of  ship, three pieces of lead drainpipes",10.0,10.0,remains,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cádiz 3,'Pecio del Clavo',101,36.517,-6.333,,1,250,ca / ?,14.0,,,,amphoras,Dr20,dolia,,metal,copper nail,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cádiz 4,,102,36.517,-6.333,,-25,25,?,12.0,,,,amphoras,Dr9 Dr12 Beltran2B,metal,lead ingot,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cádiz 5,Pecio de las piedras de molino,103,36.533,-6.333,,1,500,,10.0,,,,stone,"2 mill-stones, 4 squared blocks",amphoras,,ceramic,coarseware,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caen 1,,104,49.183,-6.367,,150,150,ca,,silted,,,coins,Antoninus Pius,,,,,,,,fragmentary boat,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesarea 1,,105,32.500,34.883,,275,325,,6.0,,,,amphoras,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesarea 2,,106,32.500,34.883,,275,325,,6.0,,,,amphoras,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesarea 3,,107,32.500,34.883,,250,250,ca / ?,7.0,,,,stone,squared basalt slabs,coins,bronze coins of Philip the Arab,,,,lead sail-rings,,lead sheathing,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagliari 1,,108,39.167,9.333,?,1,300,,,,,,amphoras,G4,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagliari 2,,109,39.167,9.333,?,200,350,,,,,,amphoras,Afr,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cala Cativa,,110,42.350,3.217,,-50,25,ca / ?,32.0,,,,amphoras,Pascual1,,,,,,lead anchor stock,,surviving hull; 2 km east of Port de la Selva,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cala Cupa,,111,42.367,10.917,,75,125,?,18.0,,,,amphoras,Dr20 G4; Tripolitana1,ceramic,terra sigillata chiara jug,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cala de Sant Vicent,,112,39.917,3.050,,1,500,,,,,,nothing reported,,,,,,,,,lead-sheathed timbers of Roman ship,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cala dei li Francesi,,113,41.217,9.367,,-100,100,?,,,,,dolia,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cala Grande,,114,41.383,9.083,,300,400,?,,,,,amphoras,LR,,,,,,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cala Levante,,115,36.783,12.033,,0,0,,30.0,,,,amphoras,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cala Rossano,,117,40.783,13.417,,30,60,ca,3.5,,,,amphoras,"Dr7-11, 20 with inscriptions of mercatores, containing fish paste and wine",ceramic,"coarse pottery, fine-wall ware",metal,"lead sheet (round), lead containers, strainers; iron knife, lead finshing weights, roll of lead sheet, 126 copper nails; tin ingots","small round wood boxes containing styli or hair-pins, handles of ivory and wood, marble basin, chest lock,",,,"wooden pulleys, 3 m of cable, pump discs, lead tubing, bronze nails, fragmentary planking, lead sheathing, bricks",40.0,15.0,remains,153,"F.P. Arata 1993,131-151.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cala Ustina 2,,118,40.917,8.717,ca,1,500,,,,,,ceramic,pottery fragments,,,,,,sounding lead (?),,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cala Vellana,,119,39.950,4.267,,50,60,ca,13.0,,,,amphoras,Dr2-4; ovoidal amphora,ceramic,"South Gaulish terra sigillata, Hispanic coarseware",,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calanque de l'Âne,,120,43.100,5.283,?,80,100,,,,,,tiles,,ceramic,pottery,glass,unguentaria; pillar-moulded glass bowl,,net-sinker,,coin of Domitian in the mast-step,22.0,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calanque du Berger,,122,43.250,5.350,?,1,500,?,,,,,,,,,,,,lead pipe of a pump,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvi,,123,42.567,8.750,ca,1500,1500,ca / ?,,,,,ceramic,glazed bowls with geometric design and flower,,,,,,,,Calvi 1 dated to end of 16th C.: Villié 1989,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarina 1,,124,36.850,14.450,,175,200,ca / ?,4.0,,,,marble,giallo antico columns,stone,sandstone blocks,ceramic,black-rim rilled plates and casseroles,"Afr1 amphoras, bronze buckets, bronze urn, strigils, small urn, bronze herm, iron hoop from barrel",iron anchor,,preserved hull,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarina 2,,125,36.850,14.450,,1,100,,,shallow,,,ceramic,African-type lamps,metal,bronze dolphin,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarina 3,,126,36.850,14.450,,1100,1200,?,5.0,,,,metal,pots of iron plates 35 cm in diameter to hold fire,metal,"hammers, tongs, pliers, nails, horseshoes, chain",,,,,,wooden hull,30.0,4.0,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarina 4,,127,36.850,14.450,,270,270,ca,,,,,coins,1000 coins,,,,,,chest fittings,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camirus,,129,36.333,27.950,,1200,1300,?,,,,,amphoras,Günsenin4,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarias,,130,26.000,-16.000,ca,200,300,?,,,,,amphoras,similar to RobinsonK109 and Almagro51C,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap Bear 1,,131,42.517,3.133,,-50,25,ca / ?,26.0,,,,amphoras,Pascual1,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap Bear 2,,132,42.517,3.133,,100,300,,35.0,,,,lamps,,,,,,,"6 iron anchors, lead anchor-stock",,hull timbers,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap Bénat 1,,133,43.083,6.367,,30,50,ca / ?,37.0,,,,amphoras,Beltran4B; Dressel 14; Ibizan amphora; flat-bottomed amphora,,,,,,,,,,,,172,"F. Mayet 1987, 289.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap Bénat 3,,134,43.083,6.367,,1,50,ca,54.0,,,,amphoras,Laubenheimer54 Haltern70,,,,,,lead device/water heater,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap Blanc,,135,39.367,2.783,ca,295,325,ca / ?,50.0,,,,amphoras,Almagro51C Afr2B-D Beltran72,ceramic,"vaulting tube, plate, jar",,,,,,timbers preserved,16.0,,remains,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap Bon 1,,136,37.083,11.033,?,1,100,?,,,,,amphoras,Haltern70,,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap Bon 2,,137,37.083,11.033,ca,-25,100,,,,,,amphoras,Dr2-4,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap Couronne,,138,43.317,5.033,,1450,1500,ca,,,,,ceramic,Valencian cobalt blue and metallic luster bowls,,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap Croisette,,139,43.200,5.333,,200,400,?,,,,,amphoras,Afr,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap de Creus,,140,42.317,3.317,ca,-50,25,ca / ?,20.0,,,,amphoras,Pascual1,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap de Garde,,141,36.950,7.800,,285,365,ca / ?,15.0,,,,amphoras,Afr2D,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
